196,25,9,-72
205,30,9,-72
190,21,9,-63
193,16,9,-63
222,65,18,-99
223,64,18,-99
204,56,18,-90
205,57,18,-90
206,56,18,-90
206,58,18,-90
210,57,18,-90
211,60,18,-90
213,55,18,-90
214,56,18,-90
215,57,18,-90
200,48,18,-81
201,48,18,-81
202,47,18,-81
203,46,18,-81
204,45,18,-81
205,44,18,-81
181,41,18,-72
183,42,18,-72
184,41,18,-72
184,43,18,-72
185,43,18,-72
186,40,18,-72
188,37,18,-72
189,38,18,-72
189,46,18,-72
190,38,18,-72
190,44,18,-72
191,39,18,-72
191,41,18,-72
191,43,18,-72
191,45,18,-72
191,47,18,-72
192,39,18,-72
193,40,18,-72
171,34,18,-63
172,33,18,-63
172,36,18,-63
174,34,18,-63
174,37,18,-63
177,31,18,-63
178,32,18,-63
178,34,18,-63
178,39,18,-63
179,32,18,-63
179,36,18,-63
179,38,18,-63
180,33,18,-63
180,38,18,-63
181,33,18,-63
181,37,18,-63
182,34,18,-63
167,28,18,-54
168,27,18,-54
152,21,18,-45
156,28,18,-45
157,23,18,-45
157,28,18,-45
158,29,18,-45
159,24,18,-45
159,26,18,-45
229,91,27,-117
230,90,27,-117
212,82,27,-108
213,81,27,-108
213,83,27,-108
214,79,27,-108
214,82,27,-108
214,84,27,-108
215,80,27,-108
215,82,27,-108
215,85,27,-108
217,82,27,-108
218,77,27,-108
219,79,27,-108
219,82,27,-108
219,87,27,-108
220,79,27,-108
220,80,27,-108
220,86,27,-108
221,81,27,-108
226,84,27,-108
205,72,27,-99
206,76,27,-99
207,75,27,-99
207,76,27,-99
208,75,27,-99
209,78,27,-99
210,74,27,-99
211,73,27,-99
211,78,27,-99
212,72,27,-99
213,71,27,-99
214,70,27,-99
214,74,27,-99
217,68,27,-99
193,66,27,-90
194,65,27,-90
195,64,27,-90
195,66,27,-90
195,67,27,-90
196,66,27,-90
196,68,27,-90
197,65,27,-90
197,69,27,-90
198,64,27,-90
199,63,27,-90
199,69,27,-90
199,71,27,-90
200,63,27,-90
200,66,27,-90
200,70,27,-90
200,72,27,-90
201,71,27,-90
202,64,27,-90
202,65,27,-90
202,72,27,-90
203,66,27,-90
203,70,27,-90
204,67,27,-90
206,68,27,-90
206,69,27,-90
182,56,27,-81
182,57,27,-81
183,56,27,-81
183,58,27,-81
184,55,27,-81
184,56,27,-81
184,58,27,-81
185,57,27,-81
186,56,27,-81
186,58,27,-81
187,58,27,-81
187,60,27,-81
188,61,27,-81
189,56,27,-81
189,58,27,-81
189,60,27,-81
189,62,27,-81
190,54,27,-81
190,55,27,-81
190,57,27,-81
190,59,27,-81
190,61,27,-81
191,55,27,-81
191,60,27,-81
192,55,27,-81
192,58,27,-81
192,60,27,-81
193,56,27,-81
193,61,27,-81
194,58,27,-81
194,60,27,-81
195,58,27,-81
196,59,27,-81
173,50,27,-72
173,52,27,-72
178,55,27,-72
179,50,27,-72
180,55,27,-72
181,54,27,-72
182,47,27,-72
182,53,27,-72
182,55,27,-72
183,46,27,-72
184,51,27,-72
186,48,27,-72
187,49,27,-72
188,48,27,-72
166,45,27,-63
167,44,27,-63
167,48,27,-63
168,43,27,-63
168,49,27,-63
169,42,27,-63
169,48,27,-63
170,42,27,-63
170,47,27,-63
171,44,27,-63
171,46,27,-63
171,48,27,-63
176,40,27,-63
176,43,27,-63
150,37,27,-54
150,40,27,-54
151,36,27,-54
151,37,27,-54
151,39,27,-54
151,40,27,-54
152,41,27,-54
153,34,27,-54
153,41,27,-54
154,35,27,-54
154,37,27,-54
154,40,27,-54
154,42,27,-54
155,36,27,-54
155,39,27,-54
156,38,27,-54
156,40,27,-54
156,41,27,-54
156,43,27,-54
157,37,27,-54
158,39,27,-54
158,42,27,-54
158,44,27,-54
159,37,27,-54
159,38,27,-54
160,42,27,-54
143,36,27,-45
144,35,27,-45
145,34,27,-45
147,32,27,-45
148,31,27,-45
149,34,27,-45
130,27,27,-36
135,25,27,-36
135,30,27,-36
136,26,27,-36
137,26,27,-36
137,30,27,-36
137,31,27,-36
127,19,27,-27
199,90,36,-108
200,91,36,-108
201,89,36,-108
201,92,36,-108
202,88,36,-108
202,90,36,-108
202,94,36,-108
202,97,36,-108
203,87,36,-108
203,89,36,-108
203,90,36,-108
203,92,36,-108
203,97,36,-108
203,98,36,-108
203,99,36,-108
204,88,36,-108
204,90,36,-108
204,93,36,-108
204,94,36,-108
204,95,36,-108
204,96,36,-108
204,98,36,-108
205,86,36,-108
205,87,36,-108
205,89,36,-108
205,92,36,-108
206,86,36,-108
206,90,36,-108
206,93,36,-108
206,94,36,-108
207,85,36,-108
207,88,36,-108
207,91,36,-108
207,92,36,-108
208,89,36,-108
208,90,36,-108
209,91,36,-108
210,85,36,-108
210,91,36,-108
212,96,36,-108
213,96,36,-108
214,92,36,-108
216,93,36,-108
190,80,36,-99
191,81,36,-99
192,80,36,-99
193,79,36,-99
